year,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,kickoff_time,week_num,total,home,away,attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner,home_score_diff,team_tier
2000,Washington Redskins,Dallas Cowboys,Dallas Cowboys,0,Mon,2000-09-18,9:01PM,27,21,332,2,331,2,Redskins,Washington,Cowboys,Dallas,2000-09-18 21:01:00,3,1174332,647424,526908,84431,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl,-6,
2000,Pittsburgh Steelers,Tennessee Titans,Tennessee Titans,0,Sun,2000-09-24,1:01PM,23,20,372,3,364,1,Steelers,Pittsburgh,Titans,Tennessee,2000-09-24 13:01:00,4,987037,440426,546611,51769,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl,-3,Elite Offense
2000,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,0,Sun,2000-09-24,1:02PM,37,0,391,1,94,4,Ravens,Baltimore,Bengals,Cincinnati,2000-09-24 13:02:00,4,1062373,551695,510678,68481,12,4,333,165,168,10.5,-2.5,8.0,0.0,8.0,Playoffs,Won Superbowl,37,
2000,Chicago Bears,Detroit Lions,Detroit Lions,0,Sun,2000-09-24,1:02PM,21,14,274,1,401,5,Bears,Chicago,Lions,Detroit,2000-09-24 13:02:00,4,1080684,535552,545132,66944,5,11,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1,No Playoffs,No Superbowl,-7,
2000,New Orleans Saints,Philadelphia Eagles,Philadelphia Eagles,0,Sun,2000-09-24,1:02PM,21,7,268,2,287,4,Saints,New Orleans,Eagles,Philadelphia,2000-09-24 13:02:00,4,980803,504315,476488,64900,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl,-14,
2000,Atlanta Falcons,St. Louis Rams,St. Louis Rams,0,Sun,2000-09-24,1:02PM,41,20,395,2,286,4,Falcons,Atlanta,Rams,St. Louis,2000-09-24 13:02:00,4,964579,422814,541765,58761,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl,-21,
2000,Miami Dolphins,New England Patriots,Miami Dolphins,0,Sun,2000-09-24,1:03PM,10,3,242,3,210,2,Dolphins,Miami,Patriots,New England,2000-09-24 13:03:00,4,1118883,589909,528974,73344,11,5,323,226,97,6.1,1.0,7.1,0.0,7.1,Playoffs,No Superbowl,7,
2000,Dallas Cowboys,San Francisco 49ers,San Francisco 49ers,0,Sun,2000-09-24,1:05PM,41,24,439,0,298,3,Cowboys,Dallas,49ers,San Francisco,2000-09-24 13:05:00,4,1075470,504360,571110,64127,5,11,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3.0,No Playoffs,No Superbowl,-17,
2000,Arizona Cardinals,Green Bay Packers,Green Bay Packers,0,Sun,2000-09-24,4:06PM,29,3,455,1,209,4,Cardinals,Arizona,Packers,Green Bay,2000-09-24 16:06:00,4,893926,387475,506451,71801,3,13,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1,No Playoffs,No Superbowl,-26,
2000,Tampa Bay Buccaneers,New York Jets,New York Jets,0,Sun,2000-09-24,4:15PM,21,17,296,3,239,4,Buccaneers,Tampa Bay,Jets,New York,2000-09-24 16:15:00,4,1080729,524775,555954,65619,10,6,388,269,119,7.4,-0.1,7.3,3.4,3.9,Playoffs,No Superbowl,-4,Elite Offense
